itemno	wordA	wordB	enc_gyak.thisRepN	enc_gyak.thisTrialN	enc_gyak.thisN	enc_gyak.thisIndex	rec_gyak.thisRepN	rec_gyak.thisTrialN	rec_gyak.thisN	rec_gyak.thisIndex	repeat_task.thisRepN	repeat_task.thisTrialN	repeat_task.thisN	repeat_task.thisIndex	enc_loop.thisRepN	enc_loop.thisTrialN	enc_loop.thisN	enc_loop.thisIndex	test_loop.thisRepN	test_loop.thisTrialN	test_loop.thisN	test_loop.thisIndex	int.started	int.stopped	int_key.keys	int_key.rt	int_key.started	int_key.stopped	prepare_gyak_text.started	prepare_gyak_text.stopped	fix.started	fix.stopped	word1.started	word1.stopped	word2.started	word2.stopped	gykrec_inst.started	gykrec_inst.stopped	gyakrec_inst.keys	gyakrec_inst.rt	gyakrec_inst.started	gyakrec_inst.stopped	cueword	cueword1.started	cueword1.stopped	cue_resp.keys	cue_resp.rt	cue_resp.started	cue_resp.stopped	cue_cont_text.started	cue_cont_text.stopped	cue_space.started	cue_space.stopped	test_ansbox.text	test_ansbox.started	test_ansbox.stopped	ans_text.started	ans_text.stopped	ans_continue.keys	ans_continue.rt	ans_continue.started	ans_continue.stopped	main_prep.started	main_prep.stopped	main_prep_resp.keys	main_prep_resp.rt	main_prep_resp.started	main_prep_resp.stopped	preparation.started	preparation.stopped	break_text.started	break_text.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	test_instruction.started	test_instruction.stopped	test_i_key.keys	test_i_key.rt	test_i_key.started	test_i_key.stopped	rep_routine.keys	rep_routine.rt	rep_routine.started	rep_routine.stopped	encrep_textbox.started	encrep_textbox.stopped	Résztvevõ kódja	date	expName	psychopyVersion	frameRate
3	fogó	limonádé									1	0	1	0	0	2	2	2													555.7164598361414	None	556.7219752474921	None	556.7219752474921	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
7	csavarhúzó	hering									1	0	1	0	0	3	3	6													562.7165833062027	None	563.7256616223021	None	563.7256616223021	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
10	málna	dominó									1	0	1	0	0	4	4	9													569.7176827185904	None	570.7265476833854	None	570.7265476833854	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
8	szalvéta	puska									1	0	1	0	0	5	5	7													576.7161967235734	None	577.729960993398	None	577.729960993398	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	bagoly	kirakó									1	0	1	0	0	6	6	0													583.7083966493083	None	584.7168202941248	None	584.7168202941248	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
6	menta	triatlon									1	0	1	0	0	7	7	5													590.7201399907935	None	591.721080167219	None	591.721080167219	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
9	szilva	kecske									1	0	1	0	0	8	8	8													597.7161575366044	None	598.7250588893075	None	598.7250588893075	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
2	kötény	tisztás									1	0	1	0	0	9	9	1													604.7188088776311	None	605.7307549961843	None	605.7307549961843	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
7	csavarhúzó	hering									1	0	1	0					0	0	0	6									630.9365603289625	None											csavarhúzó	631.9268145902315	None	4	0.765092739398824	631.9268145902315	None	631.9268145902315	None	631.9268145902315	None	hering	632.7202541306324	None	632.7202541306324	None	down	5.162872268498177	632.7202541306324	None							626.9086492498172	None	611.7157336330565	None	u	12.967171888391022	611.7157336330565	None	624.7103892759478	None	4	2.165558753418736	624.7103892759478	None							309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	bagoly	kirakó									1	0	1	0					0	1	1	0									637.916013291222	None											bagoly	638.9312430295395	None	4	1.2457287751021795	638.9312430295395	None	638.9312430295395	None	638.9312430295395	None	 kirakó	640.2110075593519	None	640.2110075593519	None	down	7.175630739249755	640.2110075593519	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
9	szilva	kecske									1	0	1	0					0	2	2	8									647.4212124077021	None											kecske	648.4533146272297	None	4	0.7133559788344428	648.4533146272297	None	648.4533146272297	None	648.4533146272297	None	 szilva	649.1943869943789	None	649.1943869943789	None	down	4.240217095852131	649.1943869943789	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
10	málna	dominó									1	0	1	0					0	3	3	9									653.4596255964134	None											dominó	654.4822411466739	None	4	0.6405120556009933	654.4822411466739	None	654.4822411466739	None	654.4822411466739	None	málna	655.1550594428845	None	655.1550594428845	None	down	6.263578131678514	655.1550594428845	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
2	kötény	tisztás									1	0	1	0					0	4	4	1									661.4613274308213	None											kötény	662.4825135894644	None	4	0.8999764877953567	662.4825135894644	None	662.4825135894644	None	662.4825135894644	None	tisztás	663.4266475790646	None	663.4266475790646	None	down	6.920037731440971	663.4266475790646	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
6	menta	triatlon									1	0	1	0					0	5	5	5									670.3759066653147	None											triatlon	671.3869225596718	None	4	2.4676499072811566	671.3869225596718	None	671.3869225596718	None	671.3869225596718	None	 menta	673.8965582016681	None	673.8965582016681	None	down	3.1859798330115154	673.8965582016681	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
3	fogó	limonádé									1	0	1	0					0	6	6	2									677.1102612651594	None											limonádé	678.1206476798397	None	4	0.7279011890932452	678.1206476798397	None	678.1206476798397	None	678.1206476798397	None	fogó	678.8734910681669	None	678.8734910681669	None	down	4.993030938407173	678.8734910681669	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
5	karton	hentes									1	0	1	0					0	7	7	4									683.9000868955627	None											hentes	684.9306210140348	None	4	0.7868477312440518	684.9306210140348	None	684.9306210140348	None	684.9306210140348	None	 karton	685.7493554364482	None	685.7493554364482	None	down	8.101088091701968	685.7493554364482	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
8	szalvéta	puska									1	0	1	0					0	8	8	7									693.8749064644217	None											puska	694.8989190614666	None	4	1.211427730799187	694.8989190614666	None	694.8989190614666	None	694.8989190614666	None	 szalvéta	696.1601123857545	None	696.1601123857545	None	down	4.522103942523245	696.1601123857545	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
4	mocsár	ananász									1	0	1	0					0	9	9	3									700.7212129675318	None											ananász	701.7382166940079	None	4	0.688121121347649	701.7382166940079	None	701.7382166940079	None	701.7382166940079	None	mocsár	702.4566983915283	None	702.4566983915283	None	down	4.401573512586765	702.4566983915283	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
											1	0	1	0																																																																					4	6.5197853797872085	706.8815402596374	None	706.8815402596374	None	309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
