itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,fix.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,529.7854796089232,,,,,,,530.8100848793983,530.8100848793983,530.8100848793983,530.8100848793983,hering,None,,545.8046065019444,545.8046065019444,545.8046065019444, ,down,2.025577307678759,547.8500084588304,547.8500084588304,4,1.76571280695498,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,549.649915965274,,,,,,,550.6784380506724,550.6784380506724,550.6784380506724,550.6784380506724,málna,None,,565.6629875646904,565.6629875646904,565.6629875646904, ,down,6.631306419149041,572.3256663000211,572.3256663000211,4,3.420084562152624,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,6,6,5,,,,,,575.7780229197815,,,,,,,576.8009468894452,576.8009468894452,576.8009468894452,576.8009468894452,triatlon,None,,591.8069266099483,591.8069266099483,591.8069266099483, ,down,1.542271819896996,593.3764847442508,593.3764847442508,4,4.345210705883801,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,7,7,2,,,,,,597.7455389238894,,,,,,,598.7651553414762,598.7651553414762,598.7651553414762,598.7651553414762,fogó,4,11.268970599398017,610.0633236998692,610.0633236998692,610.0633236998692, lapát,down,4.021791738457978,614.106391553767,614.106391553767,4,2.783769216388464,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,8,8,3,,,,,,616.9170872503892,,,,,,,617.9432982476428,617.9432982476428,617.9432982476428,617.9432982476428,ananász,None,,632.9258274631575,632.9258274631575,632.9258274631575, ,down,2.551528302952647,635.4949732031673,635.4949732031673,4,2.193983226083219,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,9,9,1,,,,,,637.7213308084756,,,,,,,638.74495485425,638.74495485425,638.74495485425,638.74495485425,kötény,4,9.814660237170756,648.6039734790102,648.6039734790102,648.6039734790102, ,down,1.25672378949821,649.8912762077525,649.8912762077525,4,4.739146330393851,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.6975083407015,654.6975083407015,4,20.810401315800846,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,fogó,limonádé,,,,,,,,,1,0,1,0,0,0,0,2,,,,,,,,,,679.5571887874976,680.5608518207446,680.5608518207446,,,,,,,,,,,,,,,,,,,,,,,,,,675.53383158613,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,1,0,1,0,0,1,1,7,,,,,,,,,,686.5408065263182,687.5605255756527,687.5605255756527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,0,2,2,0,,,,,,,,,,693.5400308761746,694.5564899565652,694.5564899565652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
