itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.9333270713687,413.9333270713687,4,18.531615772284567,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
9,szilva,kecske,,,,,,,,,1,0,1,0,0,0,0,8,,,,,,,,,,436.50959485862404,437.5150231635198,437.5150231635198,,,,,,,,,,,,,,,,,,,,,,,,,,432.48647744208574,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
10,málna,dominó,,,,,,,,,1,0,1,0,0,1,1,9,,,,,,,,,,443.4879811583087,444.5109231667593,444.5109231667593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
8,szalvéta,puska,,,,,,,,,1,0,1,0,0,2,2,7,,,,,,,,,,450.49689615610987,451.51152807381004,451.51152807381004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
5,karton,hentes,,,,,,,,,1,0,1,0,0,3,3,4,,,,,,,,,,457.48796840664,458.50969717931,458.50969717931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
6,menta,triatlon,,,,,,,,,1,0,1,0,0,4,4,5,,,,,,,,,,464.49212687276304,465.50495339836925,465.50495339836925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
2,kötény,tisztás,,,,,,,,,1,0,1,0,0,5,5,1,,,,,,,,,,471.4958337582648,472.504327964969,472.504327964969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
4,mocsár,ananász,,,,,,,,,1,0,1,0,0,6,6,3,,,,,,,,,,478.4898929139599,479.5155646260828,479.5155646260828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
3,fogó,limonádé,,,,,,,,,1,0,1,0,0,7,7,2,,,,,,,,,,485.49906604737043,486.5112071149051,486.5112071149051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,0,8,8,6,,,,,,,,,,492.4984738919884,493.50162718538195,493.50162718538195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
