itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,7,7,2,,,,,,571.8025327119976,,,,,,,572.8107824670151,572.8107824670151,572.8107824670151,572.8107824670151,fogó,4,4.999181351624429,577.8523058639839,577.8523058639839,577.8523058639839, ,down,1.4497720766812563,579.3354256805032,579.3354256805032,4,1.3048113761469722,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,580.6698819547892,,,,,,,581.6840249700472,581.6840249700472,581.6840249700472,581.6840249700472,szalvéta,4,5.602404994890094,587.3131454940885,587.3131454940885,587.3131454940885, ,down,2.085753400810063,589.4353706948459,589.4353706948459,4,1.0366933876648545,581.6840249700472,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,9,9,1,,,,,,590.5052236635238,,,,,,,591.5264119068161,591.5264119068161,591.5264119068161,591.5264119068161,kötény,4,3.5166779486462474,595.0624482175335,595.0624482175335,595.0624482175335, ,down,1.7756958901882172,596.8622649107128,596.8622649107128,4,1.8621046617627144,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.7748102238402,598.7748102238402,4,18.128741015680134,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
6,menta,triatlon,,,,,,,,,1,0,1,0,0,0,0,5,,,,,,,,,,620.9535785643384,621.9517240328714,621.9517240328714,,,,,,,,,,,,,,,,,,,,,,,,,,,616.9345589680597,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,0,1,1,6,,,,,,,,,,627.9423148455098,628.9686919199303,628.9686919199303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,kötény,tisztás,,,,,,,,,1,0,1,0,0,2,2,1,,,,,,,,,,634.9504255810753,635.9522272413597,635.9522272413597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
4,mocsár,ananász,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,641.9446287332103,642.9542929455638,642.9542929455638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,0,4,4,0,,,,,,,,,,648.9361895741895,649.9488347833976,649.9488347833976,,,,,,,,,,,,,,,,,,,,,,649.9488347833976,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
8,szalvéta,puska,,,,,,,,,1,0,1,0,0,5,5,7,,,,,,,,,,655.9448881121352,656.9525031037629,656.9525031037629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
5,karton,hentes,,,,,,,,,1,0,1,0,0,6,6,4,,,,,,,,,,662.9386676736176,663.9425082914531,663.9425082914531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
