itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,4,4,0,,,,,,582.7596334228292,,,,,,,583.7889501294121,583.7889501294121,583.7889501294121,583.7889501294121,bagoly,None,,598.7840645294636,598.7840645294636,598.7840645294636, ,down,1.1426656227558851,599.9488652618602,599.9488652618602,4,2.5828575380146503,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,5,5,2,,,,,,602.5624699871987,,,,,,,603.5897107264027,603.5897107264027,603.5897107264027,603.5897107264027,limonádé,None,,618.5691233472899,618.5691233472899,618.5691233472899, ,down,1.0856357580050826,619.6720338072628,619.6720338072628,4,2.325717764906585,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,6,6,4,,,,,,622.0284919170663,,,,,,,623.0533969979733,623.0533969979733,623.0533969979733,623.0533969979733,karton,None,,638.0430050306022,638.0430050306022,638.0430050306022, ,down,2.1395627120509744,640.2220137780532,640.2220137780532,4,0.9995694039389491,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,7,7,5,,,,,,641.2431852277368,,,,,,,642.2706937426701,642.2706937426701,642.2706937426701,642.2706937426701,triatlon,None,,657.2676381049678,657.2676381049678,657.2676381049678, madár,down,4.354334706440568,661.6468525528908,661.6468525528908,4,3.3052830891683698,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,8,8,1,,,,,,664.9765355000272,,,,,,,666.0028929812834,666.0028929812834,666.0028929812834,666.0028929812834,tisztás,4,10.690193307586014,676.7180232554674,676.7180232554674,676.7180232554674,karton,down,2.3607812467962503,679.1070773229003,679.1070773229003,4,4.496859294362366,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,0,0,0,0,,,,,0,9,9,8,,,,,,683.6320673087612,,,,,,,684.6557579096407,684.6557579096407,684.6557579096407,684.6557579096407,szilva,4,13.440289719961584,698.1386755723506,698.1386755723506,698.1386755723506,karton,down,2.2996090883389115,700.4627171754837,700.4627171754837,4,4.484825213439763,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0237173466012,705.0237173466012,4,82.14798569772393,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,1,0,1,0,0,0,0,3,,,,,,,,,,791.2195913493633,792.2087717484683,792.2087717484683,,,,,,,,,,,,,,,,,,,,,,,,,,,787.1981676742435,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,1,0,1,0,0,1,1,9,,,,,,,,,,798.2024648496881,799.2299867384136,799.2299867384136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,0,2,2,6,,,,,,,,,,805.1974710198119,806.224418791011,806.224418791011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,1,0,1,0,0,3,3,8,,,,,,,,,,812.2212934875861,813.2152767581865,813.2152767581865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,1,0,1,0,0,4,4,5,,,,,,,,,,819.2061253944412,820.2135404096916,820.2135404096916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,1,0,1,0,0,5,5,4,,,,,,,,,,826.2134558157995,827.2174388747662,827.2174388747662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,0,6,6,0,,,,,,,,,,833.2062090551481,834.2143829260021,834.2143829260021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,840.210598600097,841.220041686669,841.220041686669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,1,0,1,0,0,8,8,1,,,,,,,,,,847.2104141730815,848.2191487876698,848.2191487876698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,1,0,1,0,0,9,9,2,,,,,,,,,,854.2018098700792,855.2096064891666,855.2096064891666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,,,,,0,0,0,6,,,,,,888.7368857935071,,,,,,,889.7440877677873,889.7440877677873,889.7440877677873,889.7440877677873,hering,None,,904.753921167925,904.753921167925,904.753921167925, ,down,2.2255167923867702,907.0100837601349,907.0100837601349,4,3.647689308039844,,,,,,884.721542914398,861.2136716535315,861.2136716535315,u,13.8303984105587,875.0723752304912,875.0723752304912,4,9.625175244174898,,,,,888.7368857935071,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,1,0,1,0,,,,,0,1,1,3,,,,,,910.6902768202126,,,,,,,911.7168327225372,911.7168327225372,911.7168327225372,911.7168327225372,mocsár,4,3.8759418753907084,915.6436896175146,915.6436896175146,915.6436896175146,ananász,down,3.8795794062316418,919.5750452196226,919.5750452196226,4,2.344890685752034,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,1,0,1,0,,,,,0,2,2,2,,,,,,921.9524701368064,,,,,,,922.980290280655,922.980290280655,922.980290280655,922.980290280655,limonádé,None,,937.9687326606363,937.9687326606363,937.9687326606363, ,down,2.1298086177557707,940.1436600722373,940.1436600722373,4,2.9687620447948575,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,1,0,1,0,,,,,0,3,3,1,,,,,,943.1384917674586,,,,,,,944.1625422034413,944.1625422034413,944.1625422034413,944.1625422034413,tisztás,4,7.361031295731664,951.5598733946681,951.5598733946681,951.5598733946681,kötény,down,2.3626771420240402,953.9569197054952,953.9569197054952,4,2.1438629971817136,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,1,0,1,0,,,,,0,4,4,7,,,,,,956.121616249904,,,,,,,957.1350131612271,957.1350131612271,957.1350131612271,957.1350131612271,szalvéta,None,,972.1352703636512,972.1352703636512,972.1352703636512, ,down,1.7711470276117325,973.9630527514964,973.9630527514964,4,0.6428152164444327,957.1350131612271,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,1,0,1,0,,,,,0,5,5,9,,,,,,974.6341731334105,,,,,,,975.6607228154317,975.6607228154317,975.6607228154317,975.6607228154317,dominó,4,5.572291406802833,981.2650402691215,981.2650402691215,981.2650402691215, menta,down,2.4169676611199975,983.703564257361,983.703564257361,4,6.087624643929303,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,1,0,1,0,,,,,0,6,6,8,,,,,,989.8236743034795,,,,,,,990.8522716527805,990.8522716527805,990.8522716527805,990.8522716527805,szilva,4,11.578012369573116,1002.4644037634134,1002.4644037634134,1002.4644037634134,keszeg,down,2.0336211835965514,1004.5294526163489,1004.5294526163489,4,11.15513884369284,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,1,0,1,0,,,,,0,7,7,5,,,,,,1015.708767705597,,,,,,,1016.7307965988293,1016.7307965988293,1016.7307965988293,1016.7307965988293,triatlon,None,,1031.7360886838287,1031.7360886838287,1031.7360886838287, menta,down,2.089579318650067,1033.8537582634017,1033.8537582634017,4,15.819944241084158,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,1,0,1,0,,,,,0,8,8,4,,,,,,1049.7070074090734,,,,,,,1050.7263663131744,1050.7263663131744,1050.7263663131744,1050.7263663131744,karton,4,4.424518897198141,1055.1788557320833,1055.1788557320833,1055.1788557320833,hering,down,2.2783670416101813,1057.5038110716268,1057.5038110716268,4,7.351811200380325,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,,,,,0,9,9,0,,,,,,1064.8875130303204,,,,,,,1065.9017123384401,1065.9017123384401,1065.9017123384401,1065.9017123384401,bagoly,None,,1080.8945962013677,1080.8945962013677,1080.8945962013677, ,down,2.0824417220428586,1083.0079589644447,1083.0079589644447,4,0.9776350567117333,1065.9017123384401,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.0487614478916,1084.0487614478916,4,53.80496275331825,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,2,0,2,0,0,0,0,9,,,,,,,,,,1141.8999657267705,1142.8992951968685,1142.8992951968685,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.878497888334,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,2,0,2,0,0,1,1,4,,,,,,,,,,1148.8787961434573,1149.891804607585,1149.891804607585,,,,,,,,,,,,,,,,,,,,,,1149.891804607585,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,2,0,2,0,0,2,2,7,,,,,,,,,,1155.8902968494222,1156.901331666857,1156.901331666857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,2,0,2,0,0,3,3,2,,,,,,,,,,1162.8900959389284,1163.899600916542,1163.899600916542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,2,0,2,0,0,4,4,1,,,,,,,,,,1169.8825272871181,1170.9092421140522,1170.9092421140522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,2,0,2,0,0,5,5,0,,,,,,,,,,1176.8810052219778,1177.8965175990015,1177.8965175990015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,2,0,2,0,0,6,6,3,,,,,,,,,,1183.8900132114068,1184.896595039405,1184.896595039405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,2,0,2,0,0,7,7,5,,,,,,,,,,1190.8895970843732,1191.8967937724665,1191.8967937724665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,2,0,2,0,0,8,8,6,,,,,,,,,,1197.893816197291,1198.9056904213503,1198.9056904213503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,2,0,2,0,0,9,9,8,,,,,,,,,,1204.8891560770571,1205.8960066149011,1205.8960066149011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,2,0,2,0,,,,,0,0,0,1,,,,,,1225.5233839480206,,,,,,,1226.5246491217986,1226.5246491217986,1226.5246491217986,1226.5246491217986,tisztás,4,6.913217547349632,1233.4710639650002,1233.4710639650002,1233.4710639650002,kötény,down,1.6162126623094082,1235.1485326094553,1235.1485326094553,4,2.4650203259661794,,,,,,1221.5013438584283,1211.8915131948888,1211.8915131948888,u,3.916027800180018,1215.838220383972,1215.838220383972,4,5.64166262652725,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
