itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
14,lándzsa,fénymásoló,,,,,,,,,,,,,0,0,0,13,,,,,,,,,468.506901236251,None,,,,,,,,,,,fénymásoló,469.49563844362274,None,None,,469.49563844362274,None,469.49563844362274,None,469.49563844362274,None," 
",484.4808895783499,None,484.4808895783499,None,return,3.5650261901319027,484.4808895783499,None,,,,,,,464.47661417070776,None,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
13,tenisz,pizsama,,,,,,,,,,,,,0,1,1,12,,,,,,,,,488.0733409509994,None,,,,,,,,,,,tenisz,489.1002532839775,None,None,,489.1002532839775,None,489.1002532839775,None,489.1002532839775,None," 
",504.07811396894976,None,504.07811396894976,None,return,6.51146183675155,504.07811396894976,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
9,csavarhúzó,hering,,,,,,,,,,,,,0,2,2,8,,,,,,,,,510.6153147108853,None,,,,,,,,,,,csavarhúzó,511.6303294864483,None,None,,511.6303294864483,None,511.6303294864483,None,511.6303294864483,None," 
hinta
",526.6456213695928,None,526.6456213695928,None,return,8.055619484744966,526.6456213695928,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
1,bagoly,kirakó,,,,,,,,,,,,,0,3,3,0,,,,,,,,,534.7438425361179,None,,,,,,,,,,,kirakó,535.7661009663716,None,4,14.115976532921195,535.7661009663716,None,535.7661009663716,None,535.7661009663716,None, beton,549.9246735828929,None,549.9246735828929,None,return,3.720793527085334,549.9246735828929,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
5,mocsár,ananász,,,,,,,,,,,,,0,4,4,4,,,,,,,,,553.6799011370167,None,,,,,,,,,,,ananász,554.6964709460735,None,None,,554.6964709460735,None,554.6964709460735,None,554.6964709460735,None," 
",569.6969881500117,None,569.6969881500117,None,return,4.059881519060582,569.6969881500117,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
8,pelikán,kakaó,,,,,,,,,,,,,0,5,5,7,,,,,,,,,573.7906493381597,None,,,,,,,,,,,pelikán,574.8100147852674,None,None,,574.8100147852674,None,574.8100147852674,None,574.8100147852674,None," 
",589.8029207251966,None,589.8029207251966,None,return,2.0658086822368205,589.8029207251966,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
15,málna,dominó,,,,,,,,,,,,,0,6,6,14,,,,,,,,,591.8939731898718,None,,,,,,,,,,,málna,592.9156444398686,None,None,,592.9156444398686,None,592.9156444398686,None,592.9156444398686,None," 
",607.9073567362502,None,607.9073567362502,None,return,1.129482926800847,607.9073567362502,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
2,kötény,tisztás,,,,,,,,,,,,,0,7,7,1,,,,,,,,,609.0737203788012,None,,,,,,,,,,,kötény,610.103052653838,None,None,,610.103052653838,None,610.103052653838,None,610.103052653838,None," 
",625.0898575778119,None,625.0898575778119,None,return,2.5543850995600224,625.0898575778119,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
4,fogó,limonádé,,,,,,,,,,,,,0,8,8,3,,,,,,,,,627.6729495180771,None,,,,,,,,,,,fogó,628.6948854345828,None,None,,628.6948854345828,None,628.6948854345828,None,628.6948854345828,None," 
",643.6928691789508,None,643.6928691789508,None,return,1.9831369118764997,643.6928691789508,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
3,hárfa,elefánt,,,,,,,,,,,,,0,9,9,2,,,,,,,,,645.702442583628,None,,,,,,,,,,,elefánt,646.7209166856483,None,None,,646.7209166856483,None,646.7209166856483,None,646.7209166856483,None," 
",661.716736135073,None,661.716736135073,None,return,1.3991436744108796,661.716736135073,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
10,szalvéta,puska,,,,,,,,,,,,,0,10,10,9,,,,,,,,,663.1491332557052,None,,,,,,,,,,,puska,664.17727188766,None,4,13.362539132125676,664.17727188766,None,664.17727188766,None,664.17727188766,None," 
",677.5653260000981,None,677.5653260000981,None,return,1.8703385554254055,677.5653260000981,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
11,szilva,kecske,,,,,,,,,,,,,0,11,11,10,,,,,,,,,679.4665450216271,None,,,,,,,,,,,szilva,680.478812365327,None,4,8.048587003722787,680.478812365327,None,680.478812365327,None,680.478812365327,None," 
kötény
",688.5699416487478,None,688.5699416487478,None,return,3.9214300950989127,688.5699416487478,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
12,koktél,tolltartó,,,,,,,,,,,,,0,12,12,11,,,,,,,,,692.5272886506282,None,,,,,,,,,,,koktél,693.5526341325603,None,None,,693.5526341325603,None,693.5526341325603,None,693.5526341325603,None, ,708.5325984661467,None,708.5325984661467,None,return,2.1348387710750103,708.5325984661467,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
7,menta,triatlon,,,,,,,,,,,,,0,13,13,6,,,,,,,,,710.6865924438462,None,,,,,,,,,,,menta,711.7036751024425,None,None,,711.7036751024425,None,711.7036751024425,None,711.7036751024425,None," 

",726.6938339211047,None,726.6938339211047,None,return,1.7491327580064535,726.6938339211047,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
6,karton,hentes,,,,,,,,,,,,,0,14,14,5,,,,,,,,,728.4830121984705,None,,,,,,,,,,,hentes,729.4901386033744,None,4,9.528763755224645,729.4901386033744,None,729.4901386033744,None,729.4901386033744,None, kötény,739.0643618796021,None,739.0643618796021,None,return,5.042974889744073,739.0643618796021,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.1463842685334,None,,,,,,
